Time,volts,current,watts,amp_hour,watt_hour
1518593756.4992006,3.632,30.001,108.963,0,0
1518593760.7551994,3.631,30.001,108.933,0,0
1518593765.010645,3.63,30.001,108.903,0,0
1518593769.266641,3.629,30.001,108.873,0,0
1518593773.5222628,3.627,30.001,108.813,0,0
1518593777.7778602,3.626,30.001,108.783,0,0
1518593782.0329993,3.625,30.001,108.753,0,0
1518593786.2882934,3.624,30.001,108.723,0,0
1518593790.5403519,3.623,30.001,108.693,0,0
1518593794.7967036,3.622,30.001,108.663,0,0
1518593799.0533993,3.621,30.001,108.633,0,0
1518593803.309913,3.62,30.001,108.603,0,0
1518593807.566671,3.619,30.001,108.573,0,0
1518593811.82265,3.617,30.001,108.513,0,0
1518593816.0779543,3.617,30.001,108.513,0,0
1518593820.3333695,3.616,30.001,108.483,0,0
1518593824.588508,3.614,30.001,108.423,0,0
1518593828.842112,3.613,30.001,108.393,0,0
1518593833.0984173,3.612,30.002,108.367,0,0
1518593837.3569095,3.611,30.001,108.333,0,0
1518593841.6125863,3.61,30.001,108.303,0,0
1518593845.8689592,3.609,30.001,108.273,0,0
1518593850.1249096,3.608,30.001,108.243,0,0
1518593854.380386,3.607,30.001,108.213,0,0
1518593858.6370401,3.606,30.001,108.183,0,0
1518593862.89038,3.605,30.001,108.153,0,0
1518593867.1452296,3.604,30.001,108.123,0,0
1518593871.4010239,3.603,30.001,108.093,0,0
1518593875.6566668,3.602,30.001,108.063,0,0
1518593879.9114838,3.601,30.001,108.033,0,0
1518593884.16497,3.6,30.001,108.003,0,0
1518593888.4201925,3.599,30.001,107.973,0,0
1518593892.6767178,3.597,30.001,107.913,0,0
1518593896.9338644,3.596,30.001,107.883,0,0
1518593901.190055,3.595,30.001,107.853,0,0
1518593905.4459305,3.594,30.001,107.823,0,0
1518593909.6979105,3.593,30.001,107.793,0,0
1518593913.9543304,3.592,30.001,107.763,0,0
1518593918.209434,3.591,30.001,107.733,0,0
1518593922.4612823,3.59,30.001,107.703,0,0
1518593926.715755,3.589,30.001,107.673,0,0
1518593930.971659,3.588,30.001,107.643,0,0
1518593935.2277167,3.587,30.001,107.613,0,0
1518593939.4838789,3.586,30.001,107.583,0,0
1518593943.7394755,3.585,30.001,107.553,0,0
1518593947.9953494,3.584,30.001,107.523,0,0
1518593952.2522156,3.583,30.001,107.493,0,0
1518593956.5084338,3.582,30.001,107.463,0,0
1518593960.764354,3.581,30.001,107.433,0,0
1518593965.016715,3.58,30.001,107.403,0,0
1518593969.2719378,3.579,30.001,107.373,0,0
1518593973.5281305,3.578,30.001,107.343,0,0
1518593977.78424,3.577,30.001,107.313,0,0
1518593982.0399356,3.576,30.001,107.283,0,0
1518593986.2958589,3.575,30.001,107.253,0,0
1518593990.5530674,3.574,30.001,107.223,0,0
1518593994.8088663,3.573,30.002,107.197,0,0
1518593999.0640492,3.573,30.001,107.193,0,0
1518594003.321056,3.571,30.002,107.137,0,0
1518594007.576184,3.57,30.001,107.103,0,0
1518594011.8319705,3.569,30.001,107.073,0,0
1518594016.0882306,3.569,30.001,107.073,0,0
1518594020.343987,3.568,30.001,107.043,0,0
1518594024.5956008,3.567,30.001,107.013,0,0
1518594028.8518953,3.566,30.001,106.983,0,0
1518594033.1077983,3.565,30.001,106.953,0,0
1518594037.3637695,3.564,30.001,106.923,0,0
1518594041.6168654,3.563,30.001,106.893,0,0
1518594045.8717575,3.562,30.001,106.863,0,0
1518594050.1260192,3.561,30.001,106.833,0,0
1518594054.3814056,3.56,30.001,106.803,0,0
1518594058.6340103,3.559,30.001,106.773,0,0
1518594062.8903964,3.558,30.001,106.743,0,0
1518594067.1463122,3.557,30.001,106.713,0,0
1518594071.4020154,3.556,30.001,106.683,0,0
1518594075.6569936,3.556,30.001,106.683,0,0
1518594079.9132261,3.555,30.001,106.653,0,0
1518594084.1682446,3.554,30.001,106.623,0,0
1518594088.4238136,3.553,30.001,106.593,0,0
1518594092.6796274,3.552,30.001,106.563,0,0
1518594096.9354632,3.551,30.001,106.533,0,0
1518594101.1918263,3.55,30.001,106.503,0,0
1518594105.4448674,3.549,30.001,106.473,0,0
1518594109.6969595,3.549,30.001,106.473,0,0
1518594113.952065,3.548,30.001,106.443,0,0
1518594118.2032883,3.547,30.001,106.413,0,0
1518594122.4549117,3.546,30.001,106.383,0,0
1518594126.7092168,3.545,30.001,106.353,0,0
1518594130.9648216,3.544,30.001,106.323,0,0
1518594135.2205307,3.543,30.001,106.293,0,0
1518594139.475941,3.543,30.001,106.293,0,0
1518594143.7320693,3.542,30.001,106.263,0,0
1518594147.9873662,3.541,30.001,106.233,0,0
1518594152.2429368,3.54,30.002,106.207,0,0
1518594156.4938018,3.539,30.001,106.173,0,0
1518594160.750163,3.538,30.001,106.143,0,0
1518594165.001456,3.538,30.001,106.143,0,0
1518594169.2578745,3.537,30.001,106.113,0,0
1518594173.5139873,3.536,30.001,106.083,0,0
1518594177.769919,3.535,30.001,106.053,0,0
1518594182.0249984,3.534,30.001,106.023,0,0
1518594186.2761803,3.534,30.001,106.023,0,0
1518594190.5312047,3.533,30.001,105.993,0,0
1518594194.7863367,3.532,30.002,105.967,0,0
1518594199.0428336,3.531,30.001,105.933,0,0
1518594203.298907,3.53,30.001,105.903,0,0
1518594207.5541368,3.53,30.001,105.903,0,0
1518594211.8102477,3.529,30.001,105.873,0,0
1518594216.0660605,3.528,30.001,105.843,0,0
1518594220.3213346,3.528,30.001,105.843,0,0
1518594224.5765457,3.527,30.001,105.813,0,0
1518594228.8318336,3.526,30.001,105.783,0,0
1518594233.0870395,3.525,30.001,105.753,0,0
1518594237.34301,3.525,30.001,105.753,0,0
1518594241.5986915,3.524,30.001,105.723,0,0
1518594245.854689,3.523,30.001,105.693,0,0
1518594250.1102285,3.522,30.001,105.663,0,0
1518594254.3657784,3.521,30.001,105.633,0,0
1518594258.6217036,3.521,30.001,105.633,0,0
1518594262.877157,3.52,30.001,105.603,0,0
1518594267.1300445,3.519,30.001,105.573,0,0
1518594271.3824778,3.519,30.001,105.573,0,0
1518594275.6377392,3.518,30.001,105.543,0,0
1518594279.8933833,3.517,30.001,105.513,0,0
1518594284.1486874,3.517,30.001,105.513,0,0
1518594288.4043875,3.516,30.001,105.483,0,0
1518594292.6599786,3.515,30.001,105.453,0,0
1518594296.9149334,3.514,30.001,105.423,0,0
1518594301.1708949,3.513,30.001,105.393,0,0
1518594305.426266,3.513,30.001,105.393,0,0
1518594309.6796148,3.512,30.001,105.363,0,0
1518594313.9353633,3.512,30.001,105.363,0,0
1518594318.1913164,3.511,30.001,105.333,0,0
1518594322.4448957,3.51,30.001,105.303,0,0
1518594326.701797,3.509,30.001,105.273,0,0
1518594330.9575758,3.509,30.001,105.273,0,0
1518594335.2102745,3.508,30.001,105.243,0,0
1518594339.462142,3.508,30.001,105.243,0,0
1518594343.716805,3.507,30.002,105.217,0,0
1518594347.9715617,3.506,30.001,105.183,0,0
1518594352.2267714,3.505,30.001,105.153,0,0
1518594356.482848,3.505,30.001,105.153,0,0
1518594360.7385337,3.504,30.001,105.123,0,0
1518594364.9940197,3.503,30.001,105.093,0,0
1518594369.2495685,3.503,30.001,105.093,0,0
1518594373.504739,3.502,30.001,105.063,0,0
1518594377.7599356,3.501,30.001,105.033,0,0
1518594382.0143566,3.501,30.001,105.033,0,0
1518594386.268645,3.5,30.001,105.003,0,0
1518594390.520807,3.499,30.001,104.973,0,0
1518594394.7766416,3.499,30.001,104.973,0,0
1518594399.0319862,3.498,30.001,104.943,0,0
1518594403.2874944,3.498,30.001,104.943,0,0
1518594407.540042,3.497,30.001,104.913,0,0
1518594411.7955272,3.496,30.001,104.883,0,0
1518594416.0507329,3.496,30.001,104.883,0,0
1518594420.3021815,3.495,30.001,104.853,0,0
1518594424.558639,3.495,30.001,104.853,0,0
1518594428.813706,3.494,30.001,104.823,0,0
1518594433.0683217,3.493,30.001,104.793,0,0
1518594437.3212934,3.493,30.001,104.793,0,0
1518594441.5774448,3.492,30.001,104.763,0,0
1518594445.8334866,3.491,30.001,104.733,0,0
1518594450.0897534,3.491,30.001,104.733,0,0
1518594454.3450785,3.49,30.001,104.703,0,0
1518594458.6004305,3.49,30.001,104.703,0,0
1518594462.8561802,3.489,30.001,104.673,0,0
1518594467.1117275,3.488,30.001,104.643,0,0
1518594471.3671901,3.488,30.001,104.643,0,0
1518594475.6227944,3.487,30.001,104.613,0,0
1518594479.8780456,3.486,30.001,104.583,0,0
1518594484.1309488,3.486,30.001,104.583,0,0
1518594488.3870153,3.485,30.001,104.553,0,0
1518594492.6421566,3.485,30.001,104.553,0,0
1518594496.8983965,3.484,30.001,104.523,0,0
1518594501.1535518,3.484,30.001,104.523,0,0
1518594505.4102812,3.483,30.001,104.493,0,0
1518594509.6642582,3.482,30.001,104.463,0,0
1518594513.9199872,3.482,30.001,104.463,0,0
1518594518.1756449,3.481,30.001,104.433,0,0
1518594522.4313283,3.481,30.001,104.433,0,0
1518594526.688019,3.48,30.001,104.403,0,0
1518594530.9429283,3.48,30.001,104.403,0,0
1518594535.1974728,3.479,30.001,104.373,0,0
1518594539.4531643,3.478,30.001,104.343,0,0
1518594543.7083418,3.478,30.001,104.343,0,0
1518594547.963819,3.477,30.001,104.313,0,0
1518594552.2165153,3.477,30.001,104.313,0,0
1518594556.4724114,3.476,30.001,104.283,0,0
1518594560.723163,3.476,30.001,104.283,0,0
1518594564.978642,3.475,30.001,104.253,0,0
1518594569.2343016,3.474,30.001,104.223,0,0
1518594573.4905107,3.474,30.001,104.223,0,0
1518594577.7460618,3.473,30.001,104.193,0,0
1518594582.0014124,3.473,30.001,104.193,0,0
1518594586.2567391,3.472,30.001,104.163,0,0
1518594590.5123353,3.472,30.001,104.163,0,0
1518594594.7674863,3.471,30.001,104.133,0,0
1518594599.018655,3.47,30.001,104.103,0,0
1518594603.2736726,3.47,30.001,104.103,0,0
1518594607.5294607,3.469,30.001,104.073,0,0
1518594611.7851176,3.469,30.001,104.073,0,0
1518594616.0406358,3.468,30.001,104.043,0,0
1518594620.2963972,3.468,30.001,104.043,0,0
1518594624.5523438,3.467,30.001,104.013,0,0
1518594628.8073916,3.467,30.001,104.013,0,0
1518594633.0584092,3.466,30.001,103.983,0,0
1518594637.313672,3.466,30.001,103.983,0,0
1518594641.569362,3.465,30.001,103.953,0,0
1518594645.8256247,3.464,30.001,103.923,0,0
1518594650.0798264,3.464,30.001,103.923,0,0
1518594654.3352003,3.464,30.001,103.923,0,0
1518594658.590587,3.463,30.001,103.893,0,0
1518594662.8424163,3.462,30.001,103.863,0,0
1518594667.0963576,3.462,30.001,103.863,0,0
1518594671.3523893,3.461,30.001,103.833,0,0
1518594675.6078568,3.46,30.001,103.803,0,0
1518594679.8637733,3.46,30.001,103.803,0,0
1518594684.1204522,3.46,30.001,103.803,0,0
